idx,GroupCount,Percent,actual_story
4,6,11.5384615384615,story_29/moral
2,6,11.3207547169811,story_18/social
15,8,11.1111111111111,story_10/moral
1,4,11.1111111111111,story_11/social
15,1,11.1111111111111,story_16/old_approach_avoid
3,4,11.1111111111111,story_4/probability
2,2,11.1111111111111,story_5/old_approach_avoid
3,4,11.1111111111111,story_5/probability
2,8,11.1111111111111,story_5/social
4,4,11.1111111111111,story_7/moral
4,7,10.9375,story_17/approach_avoid
2,10,10.8695652173913,story_9/super
1,3,10.7142857142857,story_6/moral
2,9,10.7142857142857,story_6/super
4,3,10.7142857142857,story_9/moral
3,5,10.6382978723404,story_15/approach_avoid
3,7,10.4477611940299,story_2/approach_avoid
4,10,10.4166666666667,story_3/approach_avoid
1,7,10.2941176470588,story_2/social
4,9,10.2272727272727,story_1/super
2,4,10,story_1/probability
1,1,10,story_22/old_approach_avoid
2,1,10,story_7/old_approach_avoid
4,1,10,story_7/old_approach_avoid
11,1,10,story_7/old_approach_avoid
4,9,9.78260869565217,story_9/super
15,9,9.78260869565217,story_9/super
3,7,9.72222222222222,story_3/social
7,7,9.72222222222222,story_3/social
15,6,9.67741935483871,story_19/social
1,5,9.61538461538461,story_29/moral
15,5,9.61538461538461,story_29/moral
2,4,9.52380952380952,story_24/moral
4,8,9.52380952380952,story_8/super
3,5,9.43396226415094,story_18/social
3,3,9.375,story_16/probability
4,3,9.375,story_16/probability
3,3,9.375,story_20/moral
7,3,9.375,story_23/probability
3,9,9.375,story_3/approach_avoid
3,11,9.2436974789916,story_19/approach_avoid
4,7,9.21052631578947,story_5/super
7,7,9.21052631578947,story_5/super
3,11,9.16666666666667,story_22/approach_avoid
1,1,9.09090909090909,story_24/old_approach_avoid
2,1,9.09090909090909,story_24/old_approach_avoid
4,11,9.09090909090909,story_7/approach_avoid
15,1,9.09090909090909,story_9/old_approach_avoid
4,6,8.95522388059701,story_2/approach_avoid
1,5,8.92857142857143,story_21/approach_avoid
4,5,8.92857142857143,story_21/approach_avoid
1,5,8.92857142857143,story_26/moral
3,6,8.82352941176471,story_14/moral
7,6,8.82352941176471,story_2/social
1,6,8.82352941176471,story_20/probability
3,6,8.82352941176471,story_20/social
4,6,8.82352941176471,story_23/social
7,10,8.40336134453782,story_5/approach_avoid
3,1,8.33333333333333,story_1/social
3,1,8.33333333333333,story_11/approach_avoid
12,1,8.33333333333333,story_11/approach_avoid
1,4,8.33333333333333,story_12/moral
1,3,8.33333333333333,story_12/social
15,2,8.33333333333333,story_14/social
4,10,8.33333333333333,story_22/approach_avoid
1,8,8.33333333333333,story_3/approach_avoid
15,8,8.33333333333333,story_3/approach_avoid
4,1,8.33333333333333,story_3/old_approach_avoid
7,2,8.33333333333333,story_4/moral
3,2,8.33333333333333,story_4/social
3,5,8.33333333333333,story_6/approach_avoid
7,5,8.33333333333333,story_6/approach_avoid
3,1,8.33333333333333,story_6/probability
9,1,8.33333333333333,story_6/probability
2,3,8.33333333333333,story_7/moral
4,1,8.33333333333333,story_8/moral
7,1,8.33333333333333,story_8/moral
15,10,8.26446280991735,story_7/approach_avoid
3,3,8.10810810810811,story_14/approach_avoid
1,5,8.06451612903226,story_19/social
15,11,7.85714285714286,story_1/approach_avoid
3,5,7.8125,story_13/probability
3,5,7.8125,story_17/social
3,5,7.8125,story_7/social
3,7,7.60869565217391,story_2/super
15,7,7.60869565217391,story_7/super
15,9,7.56302521008403,story_5/approach_avoid
3,9,7.5,story_10/approach_avoid
1,3,7.5,story_15/probability
15,3,7.5,story_15/probability
7,9,7.5,story_22/approach_avoid
3,3,7.5,story_24/probability
7,3,7.5,story_24/probability
15,3,7.5,story_24/probability
1,6,7.5,story_24/social
1,3,7.5,story_3/moral
2,3,7.5,story_3/moral
3,3,7.5,story_7/probability
15,5,7.35294117647059,story_9/probability
11,1,7.14285714285714,story_19/old_approach_avoid
3,2,7.14285714285714,story_2/moral
15,2,7.14285714285714,story_2/moral
